,id,name,NN ը/կ,Կապը հայտարարատու  պաշտոնատար անձի հետ,"Անունը, ազգանունը, հայրանունը","Ծննդյան օրը, ամիսը, տարին"
123,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
124,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
125,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
126,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
127,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
128,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,7.,Պաշտպանված,Պաշտպանված,Պաշտպանված
129,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
130,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,2.,Պաշտպանված,Պաշտպանված,Պաշտպանված
131,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,3.,Պաշտպանված,Պաշտպանված,Պաշտպանված
132,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,4.,Պաշտպանված,Պաշտպանված,Պաշտպանված
133,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,5.,Պաշտպանված,Պաշտպանված,Պաշտպանված
134,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,6.,Պաշտպանված,Պաշտպանված,Պաշտպանված
135,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105436,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,1.,Պաշտպանված,Պաշտպանված,Պաշտպանված
