,id,Unnamed: 1,link,position,decl_title,decl_link,id,len,,Դ. ՀԱՅՏԱՐԱՐԱՏՈՒ ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ
268,ՀԴԴ_05,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4580/,ՀՀ գլխավոր դատախազության մարդու դեմ ուղղված հանցագործությունների գործերով վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=90274/,ՀԴԴ_05,42,,տվյալ չկա
260,ՀԴԴ_03,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5991/,ՀՀ ԱԱԾ քննչական դեպարտամենտի ավագ քննիչ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87525/,ՀԴԴ_03,42,,տվյալ չկա
249,ՀԴԴ_01,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27148/,Սյունիքի մարզի առաջին ատյանի ընդհանուր իրավասության դատարանի դատավոր,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=93457/,ՀԴԴ_01,42,,կա շահերի հայտարարագիր
23,ԿԿՀ_08,1,http://cpcarmenia.am//hy/declarations-registry/user_id=31224/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=82362/,ԿԿՀ_08,35,,շահերի բաժին չկա
21,ԿԿՀ_07,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27848/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամի օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91088/,ԿԿՀ_07,35,,շահերի բաժին չկա
16,ԿԿՀ_04,1,http://cpcarmenia.am//hy/declarations-registry/user_id=34790/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=81095/,ԿԿՀ_04,42,,տվյալ չկա
14,ԿԿՀ_03,6,http://cpcarmenia.am//hy/declarations-registry/user_id=5424/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=97458/,ԿԿՀ_03,42,,կա շահերի հայտարարագիր
7,ԿԿՀ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19913/,Կոռուպցիայի կանխարգելման հանձնաժողովի անդամ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=89467/,ԿԿՀ_02,42,,տվյալ չկա
3,ԿԿՀ_01,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19912/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=94798/,ԿԿՀ_01,42,,տվյալ չկա
325,ԱԾՈՒԳ_08,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27824/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=85386/,ԱԾՈՒԳ_08,42,,կա շահերի հայտարարագիր
322,ԱԾՈՒԳ_07,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27823/,ՀՀ  գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=91216/,ԱԾՈՒԳ_07,42,,տվյալ չկա
319,ԱԾՈՒԳ_06,2,http://cpcarmenia.am//hy/declarations-registry/user_id=27822/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=81698/,ԱԾՈՒԳ_06,42,,տվյալ չկա
315,ԱԾՈՒԳ_04,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19953/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=93522/,ԱԾՈՒԳ_04,42,,տվյալ չկա
311,ԱԾՈՒԳ_03,5,http://cpcarmenia.am//hy/declarations-registry/user_id=4573/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետի տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=100378/,ԱԾՈՒԳ_03,42,,տվյալ չկա
305,ԱԾՈՒԳ_02,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19060/,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=88230/,ԱԾՈՒԳ_02,42,,տվյալ չկա
301,ԱԾՈՒԳ_01,3,http://cpcarmenia.am//hy/declarations-registry/user_id=19258/,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=97327/,ԱԾՈՒԳ_01,42,,տվյալ չկա
