,id,0,1,2,3,4,5,6,7,8,9,10
111,ՀԴԴ_12,,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԼՈՌԻ ՎԱՆԱՁՈՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2008-04-04,Ժառանգություն,Այո
112,ՀԴԴ_11,Տվյալներ չկան,,,,,,,,,,
113,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,"Անհատական բնակելի տունը` հողամասի վրա կառուցված, իր տնտեսական շինություններով",միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2014-12-16,Նվիրատվություն,Այո
114,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",բաժնային սեփականություն,"0,25",Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,1998-03-26,Ժառանգություն,Այո
115,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԿԵՆՏՐՈՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2016-10-20,Նվիրատվություն,Ոչ
116,ՀԴԴ_09,,ՆԱՐԻՆԵ ԱՎԱԳՅԱՆ ԱՇՈՏԻ,"Ավտոտնակը (տրանսպորտային միջոցների կայանման համար հողամասի վրա կառուցված առանձին շինությունը), ավտոհանգրվանը,ավտոկայանատեղին",միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԿԵՆՏՐՈՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2008-03-12,Գնում,Այո
117,ՀԴԴ_06,,ԱՐԱՄ ԳՐԻԳՈՐՅԱՆ ԳՐԻՇԱՅԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ՆՈՐ ՆՈՐՔ,Պաշտպանված,Պաշտպանված Պաշտպանված,2010-12-16,Ժառանգություն,Այո
118,ՀԴԴ_05,,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2014-09-10,Գնում,Այո
119,ՀԴԴ_05,,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,"Հայաստանի Հանրապետության օրենսդրության համաձայն նոր կառուցված, ձեռք բերված և անշարժ գույքի կադաստր վարող լիազոր մարմնի կողմից հաշվառված ու գնահատված այն շինությունները, որոնք դեռևս չեն ստացել իրավունքների պետական գրանցում, ինչպես նաև սեփականության կամ հողօգտագործման իրավունք ունեցող անձանց կողմից այդ հողամաuի վրա ինքնակամ կառուցված շենքերը և շինությունները, այդ թվում՝ բազմաբնակարան շենքերում կամ շենքերին կից ինքնակամ կառույցները:",բաժնային սեփականություն,1/5,Հայաստանի Հանրապետություն ԳԵՂԱՐՔՈՒՆԻՔ ՃԱՄԲԱՐԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2021-03-11,Ժառանգություն,Այո
120,ՀԴԴ_05,,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԳԵՂԱՐՔՈՒՆԻՔ ՃԱՄԲԱՐԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2004-03-09,Այլ,Այո
